dropout,graduate,enrolled
1.3508270414764434,-2.816836059798637,1.466009018322203
-0.0774784195088572,-0.014177791875963614,0.09165621138482082
0.07482376803531149,0.002928650482305218,-0.07775241851761695
0.002030141795880924,0.010794954640439157,-0.012825096436320217
0.24393493028507468,0.01893614339432848,-0.26287107367940327
0.06034206216214579,-0.015472081662566549,-0.04486998049957943
-0.06803104832500567,0.012767973002900794,0.05526307532210525
0.042637810875528925,0.0001186361491224874,-0.042756447024651416
0.054862126232197425,-0.004392798252638542,-0.05046932797955878
-0.09619207937716674,0.020270232000545414,0.07592184737662175
-0.0546186305746775,0.00301062795400302,0.05160800262067456
0.007538388210958457,-0.007601087288414495,6.26990774561133e-05
0.10960237067708162,-0.03564003209490387,-0.07396233858217771
0.03306136861092707,-0.015320431960521417,-0.01774093665040568
0.16166459029735622,0.006493551337305166,-0.16815814163466167
-0.38837270085644915,-0.15574244283748043,0.544115143693931
0.09104213979656786,-0.012467289938648134,-0.07857484985791939
-0.18080751343559484,0.06306690837237192,0.1177406050632228
0.12499561605519974,0.03382927013701602,-0.1588248861922169
-0.04263781087552891,-0.00011863614912256302,0.04275644702465142
0.22730820418447362,-0.07373214693706723,-0.1535760572474074
0.2725992406909152,0.14726277720228292,-0.4198620178931954
-0.005124135554453883,-0.025417340685040077,0.030541476239493298
-0.9749644290318878,-0.06426463626365331,1.0392290652955447
0.24115667440208313,-0.0874869960156187,-0.15366967838646314
-0.03939444466155262,0.020095157468937468,0.019299287192615106
0.24623355909308306,-0.0683949913802149,-0.17783856771286796
0.6229977910997867,0.192741788891433,-0.8157395799912172
0.16433521545856036,-0.058855916555127806,-0.10547929890343205
-1.4872371545689647,-0.042002517377532536,1.529239671946482
-0.19175578257269718,-0.16503943729590592,0.35679521986860235
-0.09899873710409536,0.014233348372537058,0.08476538873155808
0.13027183315300972,0.01947578159324017,-0.14974761474624973
-0.005035607973925457,-0.0018616534726828133,0.006897261446608245
0.028226251966768763,0.003623306600263954,-0.031849558567032844
